Наименование транзистора|Структура|Pк max, Pк* т max, Pк** и max, мВт|fгр, f* h21б, f** h21э, f*** max,МГц|UКБО max, U* КЭR max, U** КЭО max, В|UЭБО max, В|IК max, I* К,и max, мА|IКБО, I* КЭR, I** КЭО, мкА|h21э, h21Э*|Cк, C12э*, пФ|rКЭ нас, ОмrБЭ* нас, ОмKу,р*, дБ|Kш, дБrб*, ОмPвых*, Вт|tau к, псtрас*, нсtвыкл**, нс
КТ922Б|n-p-n|20* Вт (40°С)|>=300|65* (0,1к)|4|1,5 (4,5*) А|<=20* мА (65 В)|-|<=35 (28 В)|>=5,5**|>=20** (175 МГц)|<=20
КТ922В|n-p-n|40* Вт (40°С)|>=300|65* (0,1 к)|4|3 (9*) А|<=40* мА (65 В)|-|<=65 (28 В)|>=4**|>=40** (175 МГц)|<=25
КТ922Г|n-p-n|20* Вт (40°С)|>=300|65* (0,1 к)|4|1,5 (4,5*) А|<=20* мА (65 В)|-|<=35 (28 В)|>=5**|>=17** (175 МГц)|<=20
КТ922Д|n-p-n|40* Вт (40°С)|>=250|65* (0,1 к)|4|3 (9*) А|<=40* мА (65 В)|-|<=65 (28 В)|>=3,5**|>=35** (175 МГц)|<=25
КТ925А|n-p-n|5,5* Вт (40°С)|>=500|36* (0,1 к)|4|0,5 (1*) А|<=7 мА (36 В)|>=8* (5 В; 0,2 А)|<=15 (12,6 В)|>=6,3**|2** (320 МГц)|<=20
КТ925Б|n-p-n|11* Вт (40°С)|>=500|36* (0,1 к)|4|1 (3*) А|<=12 мА (36 В)|-|<=30 (12,6 В)|>=5**|5** (320 МГц)|<=35
КТ925В|n-p-n|25* Вт (40°С)|>=450|36* (0,1 к)|3,5|3,3 (8,5*) А|<=30 мА (36 В)|>=17* (5 В; 0,2 А)|<=60 (12,6 В)|>=3**|20** (320 МГц)|<=40
КТ925Г|n-p-n|25* Вт (40°С)|>=450|36* (0,1 к)|3,5|3,3 (8,5*) А|<=30 мА (36 В)|-|<=60 (12,6 В)|>=2,5**|15** (320 МГц)|<=40
КТ926А|n-p-n|50* Вт (50°С)|>=51|150* (0,01к)|5|15 (25*) А|<=25* мА (150 В)|10...60* (7 В; 15 А)|-|<=0,17|-|-
КТ926Б|n-p-n|50* Вт (50°С)|>=51|150* (0,01к)|5|15 (25*) А|<=25* мА (150 В)|10...60* (5 В; 5 А)|-|<=0,25|-|-
КТ927А|n-p-n|83,3* Вт (75°С)|>=105|70* (0к)|3,5|10 (30*) А|<=40* мА (70 В)|>=15* (6 В; 5 А)|<=190 (28 В)|<=0,07; >=13,4**|>=75* (20 МГц)|-
КТ927Б|n-p-n|83,3* Вт (75°С)|>=105|70* (0к)|3,5|10 (30*) А|<=40* мА (70 В)|>=25* (6 В; 5 А)|<=190 (28 В)|<=0,07; >=13,4**|>=75** (20 МГц)|-
КТ927В|n-p-n|83,3* Вт (75°С)|>=105|70* (0к)|3,5|10 (30*) А|<=40* мА (70 В)|>=40* (6 В; 5 А)|<=190 (28 В)|<=0,07; >=13,4**|>=75** (20 МГц)|-
КТ928А|n-p-n|0,5 Вт; 2* Вт|>=250|60|5|0,8 (1,2*) А|<=5 (60 В)|20...100* (5 В; 150 мА)|<=12 (10 В)|<=3,3|-|<=250*
КТ928Б|n-p-n|0,5 Вт; 2* Вт|>=250|60|5|0,8 (1,2*) А|<=5 (60 В)|50...200* (5 В; 150 мА)|<=12 (10 В)|<=3,3|-|<=250*
КТ928В|n-p-n|0,5 Вт; 2* Вт|>=250|75|5|0,8 (1,2*) А|<=1 (60 В)|100...300* (5 В; 150 мА)|<=12 (10 В)|<=3,3|-|<=250*
КТ929А|n-p-n|6* Вт (40°С)|>=700|30* (0,1 к)|3|0,8 (1,5*) А|<=5* мА (30 В)|>=25* (5 В; 0,7 А)|<=20 (8 В)|>=8**|>=2** (175 МГц)|<=25
КТ930А|n-p-n|75* Вт (40°С)|>=450|50* (0,1 к)|4|6* A|<=20* мА (50 B)|40* (5 В; 0,5 А)|<=80 (28 В)|>=5**|>=40** (400 МГц)|8
КТ930Б|n-p-n|120* Вт (40°С)|>=600|50* (0,1 к)|4|6* A|<=100* мА (50 B)|50* (5 В; 0,5 А)|<=170 (28 В)|>=3,5**|>=75** (400 МГц)|11
КТ931А|n-p-n|150** Вт (40°С)|>=250|60* (0,01 к)|4|15 A|<=30* мА (60 B)|25* (5 В; 0,5 А)|<=240 (28 В)|0,18; >=3,5**|>=80** (175 МГц)|18
КТ932А|p-n-p|20* Вт (50°С)|>=40|80|4,5|2 A|<=1,5* мА (80 В)|>=15* (3 В; 1,5 А)|<=300 (20 В)|<=1|-|-
КТ932Б|p-n-p|20* Вт (50°С)|>=60|60|4,5|2 A|<=1,5* мА (60 B)|>=30* (3 В; 1,5 А)|<=300 (20 В)|<=1|-|-
КТ932В|p-n-p|20* Вт (50°С)|>=40|40|4,5|2 A|<=1,5* мА (40 B)|>=40* (3 В; 1,5 А)|<=300 (20 В)|<=1|-|-
КТ933А|p-n-p|5* Вт (50°С)|>=75|80|4,5|0,5 A|<=0,5* мА (80 B)|>=15* (3 В; 0,4 А)|<=70 (20 В)|<=3,75|-|-
КТ933Б|p-n-p|5* Вт (50°С)|>=75|60|4,5|0,5 A|<=0,5* мА (60 B)|>=30* (3 В; 0,4 А)|<=70 (20 В)|<=3,75|-|-
КТ934А|n-p-n|7,5* Вт|>=500|60* (0,01к)|4|0,5 A|<=7,5* мА (60 B)|50* (5 В; 0,1 А)|<=9 (28 В)|2; >=6**|>=3** (400 МГц)|<=20
КТ934Б|n-p-n|15* Вт|>=500|60* (0,01к)|4|1 A|<=15* мА (60 B)|50* (5 В; 0,15 А)|<=16 (28 В)|1; >=4**|>=12** (400 МГц)|<=20
КТ934В|n-p-n|30* Вт|>=500|60* (0,01к)|4|2 A|<=30* мА (60 B)|50* (5 В; 0,25 А)|<=32 (28 В)|0,5; >=3**|>=25** (400 МГц)|<=20
КТ934Г|n-p-n|15* Вт|>=450|60* (0,01к)|4|1 A|<=15* мА (60 B)|-|<=16 (28 В)|>=3,3**|>=10** (400 МГц)|<=25
КТ934Д|n-p-n|30* Вт|>=450|60* (0,01к)|4|2 A|<=30* мА (60 B)|-|<=32 (28 В)|>=2,4**|>=20** (400 МГц)|<=25
КТ935А|n-p-n|60* Вт (50°С)|>=51|80* (0,01к)|5|20 (30*) A|<=30* мА (80 B)|20...100* (4 В; 15 А)|<=800 (10 В)|<=0,066|-|<=700**
КТ936А|n-p-n|28* Вт (75°С)|-|60|3,5|3,3 A|<=10* мА (60 B)|>=6* (3 В; 0,1 А)|-|-|-|-
КТ936Б|n-p-n|83,3* Вт (75°С)|-|60|3,5|10 A|<=30* мА (60 B)|>=б* (3 В; 0,1 А)|-|-|-|-
КТ937А-2|n-p-n|3,6* Вт|6500|25|2,5|250|<=2 мА (25 В)|-|<=5,5 (20 В)|-|>=1,6** (5 ГГц)|0,78
КТ937Б-2|n-p-n|7,4* Вт|6500|25|2,5|450|<=5 мА (25 В)|-|<=7,5 (20 В)|-|>=3,2** (5 ГГц)|0,6
КТ938А-2|n-p-n|1,5* Вт|>=2000|28|2,5|180|<=1 мА (28 В)|-|<=4 (20 В)|-|>=1** (5 ГГц)|<=2
КТ938Б-2|n-p-n|1,5* Вт|>=1800|28|2,5|180|<=1 мА (28 В)|-|<=4,5 (20 В)|-|>=1** (5 ГГц)|<=2
КТ939А|n-p-n|4* Вт|>=2500|30* (0,01к)|3,5|400|<=2 мА (30 В)|40...200* (12 В; 0,2 А)|<=5,5 (12 В)|-|-|<=9
КТ939Б|n-p-n|4* Вт|>=1500|30* (0,01к)|3,5|400|<=2 мА (30 В)|20...200(12 В; 0,2 А)|<=6 (12 В)|-|-|<=10
КТ940А|n-p-n|1,2 (10*) Вт|>=90|300* (10к)|5|0,1 (0,3*) А|<=0,05 мА (250 В)|>=25* (10 В; 30 мА)|4,2 (30 В)|<=33|-|-
КТ940Б|n-p-n|1,2 (10*) Вт|>=90|250* (10к)|5|0,1 (0,3*) А|<=0,05 мА (200 В)|>=25* (10 В; 40 мА)|4,2 (30 В)|<=33|-|-
КТ940В|n-p-n|1,2 (10*) Вт|>=90|160* (10к)|5|0,1 (0,3*) А|<=0,05 мА (100 В)|>=25* (10 В; 30 мА)|4,2 (30 В)|<=33|-|-
КТ940А-5|n-p-n|10* Вт|>=90|300|5|100 (300*)|<=50 нА (250 В)|>=25* (10 В; 30 мА)|-|<=40|-|-
КТ940Б-5|n-p-n|10* Вт|>=90|250|5|100 (300*)|<=50 нА (200 В)|>=25* (10 В; 30 мА)|-|<=40|-|-
КТ940В-5|n-p-n|10* Вт|>=90|160|5|100 (300*)|<=50 нА (100 В)|>=25* (10 В; 30 мА)|-|<=40|-|-
КТ942В|n-p-n|25* Вт|>=1950|45|3,5|1,5 (3*) А|<=20 мА (45 В)|-|<=25 (28 В)|>=2,5**|>=8** (2 ГГц)|<=3
КТ943А|n-p-n|25* Вт|>=30|45|5|2 (6*) А|<=0,1 мА (45 В)|40...200* (2 В; 0,15 А)|-|<=0,б|-|-
КТ943Б|n-p-n|25* Вт|>=30|60|5|2 (6*) А|<=0,1 мА (60 В)|40...160* (2 В; 0,15 А)|-|<=0,б|-|-
КТ943В|n-p-n|25* Вт|>=30|100|5|2 (6*) А|<=0,1 мА (100 В)|40...120* (2 В; 0,15 А)|-|<=0,6|-|-
КТ943Г|n-p-n|25* Вт|>=30|100|5|2 (6*) А|<=1 мА (100 В)|20...60* (2 В; 0,15 А)|-|<=1,2|-|-
КТ943Д|n-p-n|25* Вт|>=30|100|5|2 (6*) А|<=1 мА (100 В)|30...100* (2 В; 0,15 А)|-|<=1,2|-|-
КТ944А|n-p-n|55* Вт (90°C)|>=105|100* (0,01 к)|5|12,5 (20*) А|<=80* мА (100 В)|10...80* (5 В; 10 А)|<=350 (28 В)|<=0,25; >=10**|>=100** (30 МГц)|-
КТ945А|n-p-n|50* Вт (50°С)|>=51|150* (10 Ом)|5|15 (25*) А|<=25* мА (150 В)|10...60* (7 В; 15 А)|<=200 (30 В)|<=0,17|-|<=1,1* мкс
КТ946А|n-p-n|37,5* Вт|>=720|50|3,5|2,5 (5*) А|<=50 мА (50 В)||<=50 (10 В)|>=4**|>=27** (1 МГц)|-
КТ947А|n-p-n|200* Вт (50°С)|>=75|100* (0,01к)|5|20 (50*) А|<=100* мА (100 В)|10...80* (5 В; 20 А)|<=850 (27 В)|>=10**|>=250** (1,5 МГц)|-
КТ948А|n-p-n|40* Вт|>=1950|45|2|2,5 (5*) А|<=35 мА (45 В)|-|<=30 (28 В)|>=б,5**|>=15** (2 ГГц)|-
КТ948Б|n-p-n|20* Вт|>=1950|45|2|1,25 (2,5*) А|<=15 мА (45 В)|-|<=17 (28 В)|>=б,5**|>=8** (2 ГГц)|-
КТ955А|n-p-n|20* Вт (100°С)|>=100|70* (0,01 к)|4|6 А|<=10 мА (60 В)|10...80* (5 В; 1 А)|<=75 (28 В)|>=20**|>=20** (30 МГц)|-
КТ956А|n-p-n|70** Вт (100°С)|>=100|100* (0,01к)|4|15 А|<=80* мА (100 В)|10...80* (5 В; 1 А)|<=400 (28 В)|>=20**|>=100** (30 МГц)|-
КТ957А|n-p-n|100** Вт (100°С)|>=100|60* (0,01 к)|4|20 А|<=100* мА (60 В)|10...80* (5 В; 5 А)|<=600 (28 В)|>=17**|>=125** (30 МГц)|-
КТ958А|n-p-n|85** Вт (40°С)|>=300|36* (0,01 к)|4|10 А|<=25* мА (36 В)|>=10* (8 В; 0,5 А)|<=180 (12 В)|0,16; >=4**|>=40** (175 МГц)|12
КТ960А|n-p-n|70** Вт (40°С)|>=600|36* (0,01к)|4|7 А|<=20* мА (36 В)|-|<=120 (12 В)|0,16; >=2,5**|>=40** (400 МГц)|12,5
КТ961А|n-p-n|1 (12,5*) Вт|>=50|100* (1к)|5|1,5 (2*) А|<=10 (60 В)|40...100* (2 В; 0,15 А)|-|<=1|-|-
КТ961Б|n-p-n|1 (12,5*) Вт|>=50|80* (1к)|5|1,5 (2*) А|<=10 (60 В)|63...160* (2 В; 0,15 А)|-|<=1|-|-
КТ961В|n-p-n|1 (12,5*) Вт|>=50|60* (1к)|5|1,5 (2*) А|<=10 (60 В)|100...250* (2 В; 0,15 А)|-|<=1|-|-
КТ961Г|n-p-n|1 (12,5*) Вт|>=50|40* (1к)|5|2 (3*) А|<=10 (60 В)|20...500* (2 В; 0,15 А)|-|<=1|-|-
КТ962А|n-p-n|17** Вт (40°С)|>=750|50|4|1,5 А|<=20 мА (50 В)|-|<=20 (28 В)|>=4**|>=10** (1 ГГц)|<=15
КТ962Б|n-p-n|27** Вт (40°С)|>=750|50|4|2,5 А|<=20 мА (50 В)|-|<=35 (28 В)|>=3,5**|>=20** (1 ГГц)|<=14
КТ962В|n-p-n|66** Вт (40°С)|>=600|50|4|4 А|<=30 мА (50 В)|-|<=50 (28 В)|>=3**|>=40** (1 ГГц)|<=11
КТ963А-2|n-p-n|1,1* Вт|-|18|1,5|210|<=1 мА (18 В)|-|1,5 (5 В)|>=3** (10 ГГц)|>=0,8** (10 ГГц)|-
КТ963Б-2|n-p-n|1,1* Вт|-|18|1,5|185|<=1 мА (18 В)|-|1,5 (5 В)|>=3** (10 ГГц)|>=0,5** (10 ГГц)|-
КТ963А-5|n-p-n|1,1* Вт|-|18|1,5|210|<=1 мА (18 В)|-|1,5 (5 В)|>=3** (10 ГГц)|>=0,8** (10 ГГц)|-
КТ963Б-5|n-p-n|1,1* Вт|-|18|1,5|185|<=1 мА (18 В)|-|1,5 (5 В)|>=3** (10 ГГц)|>=0,8** (10 ГГц)|-
КТ965А|n-p-n|32* Вт|>=100|36* (0,01к)|4|4 А|<=10* мА (36 В)|10...60* (5 В; 1 А)|<=100 (12,6 В)|>=13**|>=20** (30 МГц)|-
КТ966А|n-p-n|64* Вт|>=100|36* (0,01к)|4|8 А|<=23* мА (36 В)||<=250 (12,6 В)|>=16**|>=40** (30 МГц)|-
КТ967А|n-p-n|100** Вт|>=180|36* (0,01к)|4|15 А|<=20* мА (36 В)|10...100* (5 В; 5 А)|<=500 (12,6 В)|>=18**|>=90** (30 МГц)|-
КТ969А|n-p-n|1 (6*) Вт|>=60|300|5|100 (200*)|<=0,05 (200 В)|50...250* (10 В; 15 мА)|<=1,8 (30 В)|<=60|-|-
КТ969А-5|n-p-n|б* Вт|>=60|300|5|100 (200*)|<=50 нА (200 В)|>=50* (10 В; 15 мА)|-|<=70|-|-
КТ970А|n-p-n|170** Вт|>=600|50* (0,01 к)|4|13 А|100* мА (50 В)|-|180 (28 В)|>=4**|>=100** (400 МГц)|<=25
КТ971А|n-p-n|200** Вт|>=220|50* (0,01 к)|4|17 А|<=60* мА (50 В)|-|<=330 (28 В)|>=3**|<=150** (175 МГц)|<=40
КТ972А|n-p-n|8* Вт|>=200|60* (1к)|5|4* А|<=1* мА (60 В)|>=750* (3 В; 1 А)|-|<=3|-|<=200*
КТ972Б|n-p-n|8* Вт|>=200|45* (1к)|5|4* А|<=1* мА (45 В)|>=750* (3 В; 1 А)|-|<=3|-|<=200*
КТ972В|n-p-n|8* Вт|>=200|60* (1к)|5|2 А|<=1* мА (60 В)|750...5000 (3 В; 1 А)|-|<=3|-|<=200*
КТ972Г|n-p-n|8* Вт|>=200|60* (1к)|5|2 А|<=1* мА (60 В)|750...5000 (3 В; 1 А)|-|<=1,9|-|<=200*
КТ973А|p-n-p|8* Вт|>=200|60* (1к)|5|4* А|<=1* мА (60 В)|>=750* (3 В; 1 А)|-|<=3|-|<=200*
КТ973Б|p-n-p|8* Вт|>=200|45* (1к)|5|4* А|<=1* мА (45 В)|>=750* (3 В; 1 А)|-|<=3|-|<=200*
КТ973В|p-n-p|8* Вт|>=200|60* (1к)|5|2 А|<=1* мА (60 В)|750...5000 (3 В; 1 А)|-|<=3|-|<=200*
КТ973Г|p-n-p|8* Вт|>=200|60* (1к)|5|2 А|<=1* мА (60 В)|750...5000 (3 В; 1 А)|-|<=2|-|<=200*
КТ976А|n-p-n|75** Вт (40°С)|>=750|50|4|6 А|<=60 мА (50 В)|-|<=70 (28 В)|>=2**|>=60** (1 ГГц)|<=25
КТ977А|n-p-n|200** Вт (85°С)|>=600|50|3|8* А|<=25 мА (50 В)|-|-|-|>=50** (1,5 ГГц)|-
КТ979А|n-p-n|75* Вт|-|50|3,5|5 А; 10* А|<=100 мА (50 В)|-|-|>=6**|>=50** (1,3 ГГц)|-
КТ980А|n-p-n|300* Вт|>=150|100* (0,01к)|4|15 А|<=100 мА (100 В)|>=15* (10 В; 5 А)|<=450 (50 В)|>=25** (30 МГц)|>=250** (30 МГц)|-
КТ980Б|n-p-n|300* Вт|>=150|100* (0,01к)|4|15 А|<=100 мА (100 В)|>=10(10 В; 5 А)|<=450 (50 В)|>=5** (80 МГц)|>=250* (80 МГц)|-
КТ981А|n-p-n|70* Вт|-|36* (0,01 к)|4|10 А|<=50* мА (36 В)|10...90* (5 В; 5 А)|<=400 (12,6 В)|>=5**|>=50** (80 МГц)|-
КТ983А|n-p-n|8,7* Вт|>=1200|40* (0,01к)|4|0,5 А|<=5* мА (40 В)|>=20* (5 В; 0,5 А)|<=8 (28 В)|>=4**|>=0,5** (860 МГц)|-
КТ983Б|n-p-n|13* Вт|>=900|40* (0,01к)|4|1 А|<=8* мА (40 В)|>=10* (5 В; 0,5 А)|<=12 (28 В)|>=3,б**|>=1** (860 МГц)|-
КТ983В|n-p-n|22,5* Вт|>=750|40* (0,01 к)|4|2 А|<=18* мА (40 В)|>=10* (5 В; 0,5 А)|<=24 (28 В)|>=3,2**|>=3,5** (860 МГц)|-
КТ984А|n-p-n|1,4* Вт|>=720|65|4|7* А|<=30 мА (65 В)|-|<=35 (30 В)|>=5**|>=75** (820 МГц)|<=20
КТ984Б|n-p-n|4,7* Вт|>=720|65|4|16* А|<=80 мА (65 В)|-|<=80 (30 В)|>=4**|>=250** (820 МГц)|<=20
КТ985АС|n-p-n|105* Вт|>=660|50* (0,01 к)|4|17 А|<=120* мА (50 В)|-|<=270 (28 В)|>=3,5**|>=125** (0,4 ГГц)|<=21
КТ986А|n-p-n|910** Вт|-|50|3|26* А|<=60 мА (50 В)|3,8|-|>=6**|>=350** (1,4...1,6 ГГц)|-
КТ986Б|n-p-n|910** Вт|-|50|3|26* А|<=50 мА (50 В)|4|-|>=6**|>=300** (1,6 ГГц)|-
КТ986В|n-p-n|910** Вт|-|50|3|26* А|<=50 мА (50 В)|5|-|>=7**|>=350** (1,6 ГГц)|-
КТ986Г|n-p-n|910** Вт|-|50|3|26* А|<=40 мА (50 В)|5|-|>=7**|>=350** (0,8 ГГц)|-
КТ991АС|n-p-n|67* Вт|>=600|50|4|3,7 А|<=50 мА (50 В)|-|<=75 (28 В)|>=б**|>=55** (0,7 ГГц)|<=6,8
КТ996А-2|n-p-n|2,5* Вт|>=4 ГГц|20|2,5|200 (0,3* А)|<=1* мА (20 В)|>=35* (10 В; 0,1 А)|<=2,3 (10 В)|-|-|-
КТ996Б-2|n-p-n|2,5* Вт|>=4 ГГц|20|2,5|200 (0,3* А)|<=1* мА (20 В)|>=70* (10 В; 0,1 А)|<=2,3 (10 В)|-|-|-
КТ996В-2|n-p-n|2,5* Вт|>=4 ГГц|20|2,5|200 (0,3* А)|<=1* мА (20 В)|>=35* (10 В; 0,1 А)|<=2,3 (10 В)|-|>=0,11** (650 МГц)|-
КТ996А-5|n-p-n|2,5* Вт|>=4 ГГц|20|2,5|200 (0,3* А)|<=5 мА (20 В)|>=35* (10 В; 0,1 А)|<=2,3 (10 В)|-|-|-
КТ996Б-5|n-p-n|2,5* Вт|>=4 ГГц|20|2,5|200 (0,3* А)|<=5 мА (20 В)|>=70* (10 В; 0,1 А)|<=2,3 (10 В)|-|-|-
КТ996В-5|n-p-n|2,5* Вт|>=4 ГГц|20|2,5|200 (0,3* А)|<=5 мА (20 В)|>=35* (10 В; 0,1 А)|<=2,3 (10 В)|-|>=0,11** (650 МГц)|-
КТ997А|n-p-n|50* Вт|>=51|45|5|10 (20*) А|<=10 мА (45 В)|>=40* (1 В; 4 А)|<=270 (10 В)|<=0,125|-|<=500*
КТ997Б|n-p-n|50* Вт|>=51|45|5|10 (20*) А|<=10 мА (45 В)|>=20* (1 В: 4 А)|<=270 (10 В)|<=0,125|-|<=500*
КТ997В|n-p-n|50* Вт|>=51|60|5|10 (20*) А|<=10 мА (60 В)|>=20* (1 В; 4 А)|-|<=0,125|-|-
КТ999А|n-p-n|1,6 Вт; 5* Вт|>=60|250|5|50 (100*)|<=0,1 (250 В)|>=50 (10 В; 25 мА)|<=2 (30 В)|<=66|-|-
